IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.196.218,443,443,true,FRA,Europe,Frankfurt,188,9.77
34.118.51.242,443,443,true,FRA,Europe,Frankfurt,194,9.75
34.118.86.234,443,443,true,FRA,Europe,Frankfurt,205,9.74
34.154.216.61,443,443,true,AMS,Europe,Amsterdam,177,9.74
34.118.21.109,443,443,true,FRA,Europe,Frankfurt,200,9.72
34.34.34.56,443,443,true,FRA,Europe,Frankfurt,181,9.72
34.65.231.219,443,443,true,FRA,Europe,Frankfurt,181,9.71
34.154.1.112,443,443,true,FRA,Europe,Frankfurt,182,9.70
34.118.105.75,443,443,true,FRA,Europe,Frankfurt,208,9.70
34.116.191.111,443,443,true,FRA,Europe,Frankfurt,192,9.70
34.118.58.248,443,443,true,FRA,Europe,Frankfurt,196,9.66
34.118.45.183,443,443,true,FRA,Europe,Frankfurt,196,9.65
34.147.119.8,443,443,true,AMS,Europe,Amsterdam,176,9.64
34.65.158.174,443,443,true,FRA,Europe,Frankfurt,174,9.61
34.32.224.20,443,443,true,FRA,Europe,Frankfurt,189,9.61
34.116.184.78,443,443,true,FRA,Europe,Frankfurt,202,9.60
34.118.17.47,443,443,true,FRA,Europe,Frankfurt,195,9.56
34.65.65.7,443,443,true,FRA,Europe,Frankfurt,178,9.56
34.154.152.78,443,443,true,FRA,Europe,Frankfurt,194,9.54
35.222.162.216,8080,80,false,ORD,North America,Chicago,205,9.51
34.65.158.174,443,443,true,FRA,Europe,Frankfurt,200,9.50
34.159.11.68,443,443,true,FRA,Europe,Frankfurt,186,9.50
34.154.11.70,443,443,true,FRA,Europe,Frankfurt,197,9.50
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,175,9.50
35.234.126.26,443,443,true,FRA,Europe,Frankfurt,174,9.50
34.154.158.162,443,443,true,FRA,Europe,Frankfurt,183,9.49
34.89.215.49,443,443,true,FRA,Europe,Frankfurt,166,9.49
34.116.245.40,443,443,true,AMS,Europe,Amsterdam,202,9.49
34.159.157.94,443,443,true,FRA,Europe,Frankfurt,211,9.48
34.107.122.127,443,443,true,FRA,Europe,Frankfurt,185,9.48
34.65.78.221,443,443,true,FRA,Europe,Frankfurt,172,9.48
34.65.80.181,443,443,true,FRA,Europe,Frankfurt,174,9.47
34.118.125.53,443,443,true,FRA,Europe,Frankfurt,202,9.46
34.107.64.159,443,443,true,FRA,Europe,Frankfurt,217,9.45
34.116.239.30,443,443,true,AMS,Europe,Amsterdam,209,9.40
34.65.85.72,443,443,true,CDG,Europe,Paris,188,9.38
34.65.185.49,443,443,true,FRA,Europe,Frankfurt,220,9.38
34.90.233.120,443,443,true,FRA,Europe,Frankfurt,183,9.37
34.89.134.176,443,443,true,FRA,Europe,Frankfurt,180,9.36
34.154.159.9,443,443,true,FRA,Europe,Frankfurt,250,9.36
34.154.244.172,443,443,true,FRA,Europe,Frankfurt,206,9.35
34.159.112.17,443,443,true,FRA,Europe,Frankfurt,196,9.35
34.116.224.156,443,443,true,FRA,Europe,Frankfurt,190,9.33
34.116.219.165,443,443,true,FRA,Europe,Frankfurt,204,9.31
34.65.211.8,443,443,true,FRA,Europe,Frankfurt,190,9.30
34.154.135.246,443,443,true,FRA,Europe,Frankfurt,181,9.30
35.246.176.147,443,443,true,FRA,Europe,Frankfurt,191,9.30
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,195,9.30
34.32.151.237,443,443,true,FRA,Europe,Frankfurt,187,9.30
35.234.105.217,443,443,true,FRA,Europe,Frankfurt,195,9.29
34.65.50.248,443,443,true,FRA,Europe,Frankfurt,175,9.29
34.90.206.159,443,443,true,FRA,Europe,Frankfurt,186,9.29
34.107.56.17,443,443,true,FRA,Europe,Frankfurt,220,9.28
34.90.121.214,443,443,true,FRA,Europe,Frankfurt,187,9.28
34.154.211.70,443,443,true,FRA,Europe,Frankfurt,190,9.26
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,199,9.25
34.154.107.8,443,443,true,FRA,Europe,Frankfurt,180,9.25
34.118.58.248,443,443,true,FRA,Europe,Frankfurt,200,9.24
34.91.155.132,443,443,true,FRA,Europe,Frankfurt,204,9.24
34.116.147.112,443,443,true,FRA,Europe,Frankfurt,207,9.24
34.91.230.226,443,443,true,FRA,Europe,Frankfurt,193,9.24
34.90.69.28,443,443,true,FRA,Europe,Frankfurt,225,9.24
34.116.212.98,443,443,true,FRA,Europe,Frankfurt,197,9.22
34.116.244.60,443,443,true,FRA,Europe,Frankfurt,207,9.22
34.154.52.15,443,443,true,FRA,Europe,Frankfurt,183,9.21
34.65.81.222,443,443,true,FRA,Europe,Frankfurt,178,9.19
34.154.217.64,443,443,true,FRA,Europe,Frankfurt,198,9.19
34.90.120.205,443,443,true,FRA,Europe,Frankfurt,192,9.19
34.65.197.35,443,443,true,FRA,Europe,Frankfurt,180,9.19
34.154.135.130,443,443,true,EWR,North America,Newark,206,9.19
34.107.121.246,443,0,true,CDG,Europe,Paris,180,9.18
34.65.255.99,443,443,true,FRA,Europe,Frankfurt,188,9.16
34.65.65.7,443,443,true,FRA,Europe,Frankfurt,176,9.16
34.91.227.44,443,443,true,FRA,Europe,Frankfurt,186,9.14
34.116.216.206,443,443,true,AMS,Europe,Amsterdam,201,9.14
34.154.117.230,443,443,true,FRA,Europe,Frankfurt,194,9.13
